Scent, Time To Object, Time On Wrong, Time On Correct
Pine(Clone),1.559213,0,13.46306
Citrus(Clone),2.143477,0,12.8783
Rose(Clone),1.419886,0,13.6023
Cinnamon(Clone),1.587106,0,13.28106
Average:
167.742
