Scent, Time To Object, Time On Wrong, Time On Correct
Pine(Clone),2.116956,0,12.90613
Citrus(Clone),2.480976,0,12.54109
Rose(Clone),2.424174,0,12.59851
Cinnamon(Clone),3.021732,0,11.99276

Score:
95.88651
