Scent, Time To Object, Time On Wrong, Time On Correct
Pine(Clone),1.233275,0,13.83327
Citrus(Clone),5.400645,1.899789,9.633319
Rose(Clone),5.166507,8.366938,4.633259
Cinnamon(Clone),0.8335214,0,14.20008
Score:72.07468
