Scent, Time To Object, Time On Wrong, Time On Correct
Pine(Clone),3.688818,0.8494868,1.337762
Citrus(Clone),1.086193,0,3.938715
Rose(Clone),1.299404,0,3.729116
Cinnamon(Clone),1.269282,0,3.744523

Score:
33.56478
