Scent, timeToObject, timeonwrong, timeoncorrect
Pine(Clone),3.937358,5.525343,0.041529
Citrus(Clone),5.8404,7.731726,0.4754919
Rose(Clone),0,9.796423,0
Cinnamon(Clone),3.046419,4.788847,5.73897
